datetime,prompton,beltzvilleCombined,fewalter,blueMarsh
6/23/1945,6655.761524,,,
6/24/1945,5240.604462,,,
6/25/1945,4562.104501,,,
6/26/1945,4394.094987,,,
6/27/1945,4639.647354,,,
6/28/1945,4116.233098,,,
6/29/1945,3877.142635,,,
6/30/1945,3857.756922,,,
7/1/1945,3321.418858,,,
7/2/1945,2591.223661,,,
7/3/1945,2823.852219,,,
7/4/1945,2610.609374,,,
7/5/1945,2171.199876,,,
7/6/1945,2449.061765,,,
7/7/1945,2248.742729,,,
7/8/1945,1880.414178,,,
7/9/1945,1660.709429,,,
7/10/1945,1873.952274,,,
7/11/1945,1945.033222,,,
7/12/1945,1718.866568,,,
7/13/1945,1596.090385,,,
7/14/1945,1466.852297,,,
7/15/1945,2578.299853,,,
7/16/1945,9305.142325,,,
7/17/1945,6849.618656,,,
7/18/1945,5259.990175,,,
7/19/1945,13440.76114,,,
7/20/1945,27139.99845,,,
7/21/1945,18997.99891,,,
7/22/1945,12277.61835,,,
7/23/1945,9175.904237,,,
7/24/1945,8271.237622,,,
7/25/1945,6591.14248,,,
7/26/1945,6280.971069,,,
7/27/1945,8723.57093,,,
7/28/1945,6720.380568,,,
7/29/1945,18093.3323,,,
7/30/1945,22293.57015,,,
7/31/1945,12406.85643,,,
8/1/1945,10339.04703,,,
8/2/1945,9111.285193,,,
8/3/1945,7560.428139,,,
8/4/1945,6190.504408,,,
8/5/1945,4988.590191,,,
8/6/1945,4794.733059,,,
8/7/1945,7560.428139,,,
8/8/1945,6914.2377,,,
8/9/1945,5589.547299,,,
8/10/1945,5085.518757,,,
8/11/1945,4491.023553,,,
8/12/1945,3728.518834,,,
8/13/1945,3463.580754,,,
8/14/1945,3289.109336,,,
8/15/1945,3024.171256,,,
8/16/1945,2739.847462,,,
8/17/1945,2623.533183,,,
8/18/1945,2449.061765,,,
8/19/1945,2171.199876,,,
8/20/1945,1945.033222,,,
8/21/1945,2022.576075,,,
8/22/1945,1848.104656,,,
8/23/1945,1789.947517,,,
8/24/1945,2067.809406,,,
8/25/1945,5046.74733,,,
8/26/1945,4600.875927,,,
8/27/1945,3806.061687,,,
8/28/1945,3095.252204,,,
8/29/1945,2449.061765,,,
8/30/1945,2313.361772,,,
8/31/1945,2022.576075,,,
9/1/1945,1873.952274,,,
9/2/1945,2907.856977,,,
9/3/1945,4187.314046,,,
9/4/1945,3075.866491,,,
9/5/1945,2610.609374,,,
9/6/1945,2203.509398,,,
9/7/1945,2035.499884,,,
9/8/1945,1873.952274,,,
9/9/1945,1531.471341,,,
9/10/1945,1615.476098,,,
9/11/1945,2888.471263,,,
9/12/1945,4297.166421,,,
9/13/1945,4794.733059,,,
9/14/1945,3463.580754,,,
9/15/1945,3444.195041,,,
9/16/1945,3566.971225,,,
9/17/1945,3302.033144,,,
9/18/1945,3534.661703,,,
9/19/1945,6655.761524,,,
9/20/1945,10597.5232,,,
9/21/1945,7043.475788,,,
9/22/1945,5524.928255,,,
9/23/1945,4226.085473,,,
9/24/1945,3818.985496,,,
9/25/1945,4019.304532,,,
9/26/1945,4058.075958,,,
9/27/1945,5757.556814,,,
9/28/1945,5279.375889,,,
9/29/1945,4316.552134,,,
9/30/1945,3495.890276,,,
10/1/1945,3056.480778,,,
10/2/1945,3521.737894,,,
10/3/1945,6332.666304,,,
10/4/1945,6655.761524,,,
10/5/1945,5343.994932,,,
10/6/1945,4465.175935,,,
10/7/1945,4523.333075,,,
10/8/1945,6655.761524,,,
10/9/1945,7366.571007,,,
10/10/1945,12794.5707,,,
10/11/1945,10209.80894,,,
10/12/1945,8271.237622,,,
10/13/1945,6978.856744,,,
10/14/1945,5932.028232,,,
10/15/1945,5550.775873,,,
10/16/1945,5473.23302,,,
10/17/1945,5085.518757,,,
10/18/1945,4562.104501,,,
10/19/1945,4174.390237,,,
10/20/1945,3786.675974,,,
10/21/1945,3418.347424,,,
10/22/1945,3250.337909,,,
10/23/1945,3599.280747,,,
10/24/1945,3579.895033,,,
10/25/1945,3902.990253,,,
10/26/1945,4135.618811,,,
10/27/1945,3941.761679,,,
10/28/1945,3728.518834,,,
10/29/1945,3521.737894,,,
10/30/1945,3379.575997,,,
10/31/1945,3327.880762,,,
11/1/1945,3198.642674,,,
11/2/1945,3004.785542,,,
11/3/1945,3657.437886,,,
11/4/1945,9822.094676,,,
11/5/1945,8658.951886,,,
11/6/1945,6914.2377,,,
11/7/1945,5951.413945,,,
11/8/1945,5247.066367,,,
11/9/1945,4717.190206,,,
11/10/1945,4542.718788,,,
11/11/1945,5066.133044,,,
11/12/1945,7560.428139,,,
11/13/1945,8335.856666,,,
11/14/1945,7883.523359,,,
11/15/1945,9628.237545,,,
11/16/1945,8594.332842,,,
11/17/1945,7108.094832,,,
11/18/1945,6591.14248,,,
11/19/1945,6655.761524,,,
11/20/1945,8141.999534,,,
11/21/1945,9240.523281,,,
11/22/1945,9046.666149,,,
11/23/1945,12665.33261,,,
11/24/1945,10145.1899,,,
11/25/1945,8206.618578,,,
11/26/1945,7301.951963,,,
11/27/1945,6720.380568,,,
11/28/1945,6100.037746,,,
11/29/1945,7108.094832,,,
11/30/1945,7754.285271,,,
12/1/1945,6526.523436,,,
12/2/1945,5343.994932,,,
12/3/1945,5124.290183,,,
12/4/1945,5285.837793,,,
12/5/1945,5066.133044,,,
12/6/1945,4755.961633,,,
12/7/1945,5305.223506,,,
12/8/1945,6591.14248,,,
12/9/1945,6145.271077,,,
12/10/1945,5802.790144,,,
12/11/1945,5512.004447,,,
12/12/1945,4755.961633,,,
12/13/1945,4077.461672,,,
12/14/1945,4038.690245,,,
12/15/1945,3864.218827,,,
12/16/1945,3560.50932,,,
12/17/1945,2778.618889,,,
12/18/1945,2649.380801,,,
12/19/1945,2713.999845,,,
12/20/1945,2843.237933,,,
12/21/1945,2972.47602,,,
12/22/1945,3101.714108,,,
12/23/1945,2907.856977,,,
12/24/1945,2713.999845,,,
12/25/1945,2584.761757,,,
12/26/1945,4523.333075,,,
12/27/1945,6784.999612,,,
12/28/1945,6138.809173,,,
12/29/1945,5686.475865,,,
12/30/1945,5169.523514,,,
12/31/1945,5040.285426,,,
1/1/1946,4911.047338,,,
1/2/1946,4652.571162,,,
1/3/1946,4394.094987,,,
1/4/1946,4135.618811,,,
1/5/1946,4135.618811,,,
1/6/1946,5169.523514,,,
1/7/1946,14280.80871,,,
1/8/1946,17317.90377,,,
1/9/1946,13957.71349,,,
1/10/1946,12471.47548,,,
1/11/1946,11437.57077,,,
1/12/1946,9046.666149,,,
1/13/1946,7948.142403,,,
1/14/1946,6720.380568,,,
1/15/1946,6526.523436,,,
1/16/1946,5447.385403,,,
1/17/1946,4736.57592,,,
1/18/1946,4290.704516,,,
1/19/1946,4232.547377,,,
1/20/1946,3560.50932,,,
1/21/1946,2584.761757,,,
1/22/1946,3037.095064,,,
1/23/1946,3360.190284,,,
1/24/1946,3360.190284,,,
1/25/1946,3489.428372,,,
1/26/1946,3037.095064,,,
1/27/1946,2713.999845,,,
1/28/1946,2584.761757,,,
1/29/1946,2843.237933,,,
1/30/1946,2907.856977,,,
1/31/1946,2907.856977,,,
2/1/1946,2713.999845,,,
2/2/1946,2520.142713,,,
2/3/1946,2132.428449,,,
2/4/1946,1938.571318,,,
2/5/1946,2584.761757,,,
2/6/1946,2907.856977,,,
2/7/1946,2713.999845,,,
2/8/1946,2649.380801,,,
2/9/1946,2520.142713,,,
2/10/1946,2261.666537,,,
2/11/1946,2132.428449,,,
2/12/1946,2326.285581,,,
2/13/1946,2390.904625,,,
2/14/1946,2681.690323,,,
2/15/1946,4988.590191,,,
2/16/1946,5027.361617,,,
2/17/1946,3379.575997,,,
2/18/1946,2533.066522,,,
2/19/1946,2067.809406,,,
2/20/1946,2326.285581,,,
2/21/1946,2197.047493,,,
2/22/1946,2261.666537,,,
2/23/1946,2151.814163,,,
2/24/1946,1977.342744,,,
2/25/1946,1964.418935,,,
2/26/1946,2390.904625,,,
2/27/1946,2584.761757,,,
2/28/1946,2597.685566,,,
3/1/1946,3890.066444,,,
3/2/1946,5996.647276,,,
3/3/1946,5285.837793,,,
3/4/1946,5783.404431,,,
3/5/1946,7043.475788,,,
3/6/1946,10597.5232,,,
3/7/1946,15443.9515,,,
3/8/1946,24102.90338,,,
3/9/1946,23844.42721,,,
3/10/1946,25718.37948,,,
3/11/1946,15120.85628,,,
3/12/1946,10855.99938,,,
3/13/1946,8658.951886,,,
3/14/1946,7818.904315,,,
3/15/1946,8012.761446,,,
3/16/1946,12277.61835,,,
3/17/1946,10145.1899,,,
3/18/1946,8788.189974,,,
3/19/1946,7883.523359,,,
3/20/1946,6914.2377,,,
3/21/1946,6145.271077,,,
3/22/1946,5550.775873,,,
3/23/1946,4911.047338,,,
3/24/1946,4213.161664,,,
3/25/1946,4213.161664,,,
3/26/1946,4387.633082,,,
3/27/1946,5182.447323,,,
3/28/1946,4911.047338,,,
3/29/1946,4465.175935,,,
3/30/1946,4019.304532,,,
3/31/1946,3308.495049,,,
4/1/1946,3127.561726,,,
4/2/1946,3450.656945,,,
4/3/1946,3689.747408,,,
4/4/1946,3489.428372,,,
4/5/1946,3269.723623,,,
4/6/1946,3250.337909,,,
4/7/1946,2713.999845,,,
4/8/1946,2584.761757,,,
4/9/1946,2830.314124,,,
4/10/1946,3024.171256,,,
4/11/1946,2991.861734,,,
4/12/1946,2869.08555,,,
4/13/1946,2552.452235,,,
4/14/1946,2151.814163,,,
4/15/1946,2222.895111,,,
4/16/1946,2785.080793,,,
4/17/1946,3166.333152,,,
4/18/1946,3127.561726,,,
4/19/1946,2571.837948,,,
4/20/1946,2442.59986,,,
4/21/1946,2106.580832,,,
4/22/1946,2164.737971,,,
4/23/1946,2255.204633,,,
4/24/1946,2242.280824,,,
4/25/1946,2119.504641,,,
4/26/1946,2442.59986,,,
4/27/1946,2474.909382,,,
4/28/1946,2255.204633,,,
4/29/1946,2255.204633,,,
4/30/1946,2765.69508,,,
5/1/1946,2617.071279,,,
5/2/1946,2410.290338,,,
5/3/1946,2242.280824,,,
5/4/1946,2106.580832,,,
5/5/1946,1764.099899,,,
5/6/1946,1977.342744,,,
5/7/1946,2442.59986,,,
5/8/1946,2649.380801,,,
5/9/1946,3075.866491,,,
5/10/1946,3075.866491,,,
5/11/1946,2733.385558,,,
5/12/1946,2429.676052,,,
5/13/1946,3289.109336,,,
5/14/1946,3689.747408,,,
5/15/1946,4096.847385,,,
5/16/1946,5066.133044,,,
5/17/1946,4775.347346,,,
5/18/1946,5699.399674,,,
5/19/1946,7883.523359,,,
5/20/1946,8982.047105,,,
5/21/1946,8594.332842,,,
5/22/1946,17253.28473,,,
5/23/1946,12277.61835,,,
5/24/1946,8982.047105,,,
5/25/1946,6784.999612,,,
5/26/1946,6720.380568,,,
5/27/1946,11502.18982,,,
5/28/1946,29530.90307,,,
5/29/1946,27850.80793,,,
5/30/1946,17059.4276,,,
5/31/1946,11760.66599,,,
6/1/1946,8852.809017,,,
6/2/1946,9563.618501,,,
6/3/1946,18093.3323,,,
6/4/1946,13569.99922,,,
6/5/1946,10403.66607,,,
6/6/1946,8594.332842,,,
6/7/1946,7237.332919,,,
6/8/1946,6190.504408,,,
6/9/1946,5389.228263,,,
6/10/1946,5104.90447,,,
6/11/1946,4562.104501,,,
6/12/1946,4697.804493,,,
6/13/1946,5447.385403,,,
6/14/1946,4678.41878,,,
6/15/1946,3657.437886,,,
6/16/1946,2746.309367,,,
6/17/1946,2713.999845,,,
6/18/1946,3004.785542,,,
6/19/1946,3541.123607,,,
6/20/1946,3360.190284,,,
6/21/1946,2882.009359,,,
6/22/1946,2487.833191,,,
6/23/1946,1964.418935,,,
6/24/1946,1945.033222,,,
6/25/1946,2035.499884,,,
6/26/1946,1861.028465,,,
6/27/1946,1835.180847,,,
6/28/1946,2035.499884,,,
6/29/1946,2132.428449,,,
6/30/1946,2429.676052,,,
7/1/1946,2520.142713,,,
7/2/1946,3295.57124,,,
7/3/1946,4600.875927,,,
7/4/1946,3398.96171,,,
7/5/1946,2487.833191,,,
7/6/1946,2003.190362,,,
7/7/1946,1751.17609,,,
7/8/1946,1550.857054,,,
7/9/1946,1693.018951,,,
7/10/1946,1654.247524,,,
7/11/1946,1835.180847,,,
7/12/1946,1693.018951,,,
7/13/1946,1537.933245,,,
7/14/1946,1176.066599,,,
7/15/1946,1150.218982,,,
7/16/1946,1240.685643,,,
7/17/1946,1292.380878,,,
7/18/1946,1150.218982,,,
7/19/1946,1150.218982,,,
7/20/1946,1098.523747,,,
7/21/1946,878.8189974,,,
7/22/1946,1104.985651,,,
7/23/1946,2145.352258,,,
7/24/1946,5007.975904,,,
7/25/1946,3864.218827,,,
7/26/1946,2552.452235,,,
7/27/1946,1906.261796,,,
7/28/1946,1253.609452,,,
7/29/1946,1150.218982,,,
7/30/1946,1195.452313,,,
7/31/1946,1305.304687,,,
8/1/1946,2248.742729,,,
8/2/1946,2377.980816,,,
8/3/1946,2119.504641,,,
8/4/1946,1486.23801,,,
8/5/1946,1350.538018,,,
8/6/1946,1486.23801,,,
8/7/1946,1596.090385,,,
8/8/1946,3883.60454,,,
8/9/1946,2662.30461,,,
8/10/1946,2106.580832,,,
8/11/1946,1537.933245,,,
8/12/1946,1615.476098,,,
8/13/1946,1945.033222,,,
8/14/1946,1789.947517,,,
8/15/1946,1615.476098,,,
8/16/1946,1363.461827,,,
8/17/1946,1486.23801,,,
8/18/1946,1292.380878,,,
8/19/1946,1266.533261,,,
8/20/1946,1512.085628,,,
8/21/1946,1415.157062,,,
8/22/1946,1428.080871,,,
8/23/1946,1337.614209,,,
8/24/1946,1117.90946,,,
8/25/1946,743.1190051,,,
8/26/1946,820.6618578,,,
8/27/1946,1098.523747,,,
8/28/1946,1104.985651,,,
8/29/1946,1266.533261,,,
8/30/1946,1563.780863,,,
8/31/1946,1292.380878,,,
9/1/1946,936.9761369,,,
9/2/1946,578.3404431,,,
9/3/1946,538.9228263,,,
9/4/1946,1124.371364,,,
9/5/1946,1182.528504,,,
9/6/1946,1182.528504,,,
9/7/1946,1130.833269,,,
9/8/1946,898.2047105,,,
9/9/1946,710.8094832,,,
9/10/1946,1195.452313,,,
9/11/1946,1150.218982,,,
9/12/1946,1150.218982,,,
9/13/1946,1085.599938,,,
9/14/1946,969.2856588,,,
9/15/1946,448.4561648,,,
9/16/1946,461.3799736,,,
9/17/1946,1046.828512,,,
9/18/1946,1117.90946,,,
9/19/1946,1001.595181,,,
9/20/1946,975.7475632,,,
9/21/1946,1079.138034,,,
9/22/1946,1512.085628,,,
9/23/1946,1563.780863,,,
9/24/1946,2132.428449,,,
9/25/1946,4465.175935,,,
9/26/1946,4135.618811,,,
9/27/1946,2410.290338,,,
9/28/1946,1680.095142,,,
9/29/1946,1253.609452,,,
9/30/1946,1447.466584,,,
10/1/1946,2061.347501,,,
10/2/1946,2248.742729,,,
10/3/1946,2106.580832,,,
10/4/1946,1932.109413,,,
10/5/1946,1647.78562,,,
10/6/1946,1279.45707,,,
10/7/1946,1195.452313,,,
10/8/1946,1647.78562,,,
10/9/1946,1693.018951,,,
10/10/1946,1654.247524,,,
10/11/1946,1453.928488,,,
10/12/1946,1583.166576,,,
10/13/1946,1402.233253,,,
10/14/1946,2016.11417,,,
10/15/1946,2074.27131,,,
10/16/1946,1770.561803,,,
10/17/1946,1550.857054,,,
10/18/1946,1660.709429,,,
10/19/1946,1996.728457,,,
10/20/1946,2158.276067,,,
10/21/1946,2054.885597,,,
10/22/1946,2016.11417,,,
10/23/1946,1699.480855,,,
10/24/1946,1460.390393,,,
10/25/1946,1441.004679,,,
10/26/1946,1402.233253,,,
10/27/1946,1809.33323,,,
10/28/1946,2300.437964,,,
10/29/1946,2184.123685,,,
10/30/1946,1932.109413,,,
10/31/1946,1938.571318,,,
11/1/1946,1815.795134,,,
11/2/1946,1499.161819,,,
11/3/1946,1389.309444,,,
11/4/1946,1447.466584,,,
11/5/1946,1757.637995,,,
11/6/1946,1596.090385,,,
11/7/1946,1589.628481,,,
11/8/1946,1770.561803,,,
11/9/1946,1744.714186,,,
11/10/1946,1272.995165,,,
11/11/1946,1311.766592,,,
11/12/1946,1828.718943,,,
11/13/1946,1957.957031,,,
11/14/1946,2009.652266,,,
11/15/1946,1621.938002,,,
11/16/1946,1453.928488,,,
11/17/1946,1098.523747,,,
11/18/1946,1085.599938,,,
11/19/1946,1531.471341,,,
11/20/1946,1311.766592,,,
11/21/1946,1201.914217,,,
11/22/1946,1499.161819,,,
11/23/1946,1260.071356,,,
