datetime,prompton,beltzvilleCombined,fewalter,blueMarsh
9/30/2004,,,,7405.196958
10/1/2004,,,,7136.618736
10/2/2004,,,,6988.926477
10/3/2004,,,,6903.295897
10/4/2004,,,,6782.055473
10/5/2004,,,,6651.243436
10/6/2004,,,,6612.956986
10/7/2004,,,,6622.528599
10/8/2004,,,,6622.528599
10/9/2004,,,,6609.766449
10/10/2004,,,,6593.813761
10/11/2004,,,,6568.392626
10/12/2004,,,,6548.940853
10/13/2004,,,,6568.392626
10/14/2004,,,,6585.065574
10/15/2004,,,,6532.267904
10/16/2004,,,,6507.258482
10/17/2004,,,,6471.13376
10/18/2004,,,,6415.557265
10/19/2004,,,,6351.644296
10/20/2004,,,,6182.637048
10/21/2004,,,,5999.078923
10/22/2004,,,,5865.915024
10/23/2004,,,,5772.747087
10/24/2004,,,,5675.937114
10/25/2004,,,,5594.826054
10/26/2004,,,,5558.195254
10/27/2004,,,,5516.331481
10/28/2004,,,,5475.164704
10/29/2004,,,,5428.904355
10/30/2004,,,,5459.744588
10/31/2004,,,,5493.15484
11/1/2004,,,,5506.004937
11/2/2004,,,,5462.314607
11/3/2004,,,,5380.073986
11/4/2004,,,,5310.683461
11/5/2004,,,,5318.393519
11/6/2004,,,,5274.703189
11/7/2004,,,,5226.426506
11/8/2004,,,,5193.61608
11/9/2004,,,,5211.283233
11/10/2004,,,,5244.093659
11/11/2004,,,,5274.703189
11/12/2004,,,,5315.8235
11/13/2004,,,,5349.233752
11/14/2004,,,,5333.813636
11/15/2004,,,,5310.683461
11/16/2004,,,,5284.983267
11/17/2004,,,,5264.423112
11/18/2004,,,,5266.993131
11/19/2004,,,,5269.56315
11/20/2004,,,,5272.13317
11/21/2004,,,,5290.123306
11/22/2004,,,,5295.263345
11/23/2004,,,,5295.263345
11/24/2004,,,,5290.123306
11/25/2004,,,,5323.533558
11/26/2004,,,,5359.51383
11/27/2004,,,,5359.51383
11/28/2004,,,,5738.732772
11/29/2004,,,,6404.441966
11/30/2004,,,,6247.688899
12/1/2004,,,,5991.089089
12/2/2004,,,,5879.231414
12/3/2004,,,,5586.976597
12/4/2004,,,,5372.363927
12/5/2004,,,,5160.805654
12/6/2004,,,,5138.090744
12/7/2004,,,,5233.998143
12/8/2004,,,,5346.663733
12/9/2004,,,,5336.383655
12/10/2004,,,,5423.764316
12/11/2004,,,,5775.363573
12/12/2004,,,,5972.446143
12/13/2004,,,,6039.028093
12/14/2004,,,,5961.793031
12/15/2004,,,,5823.302577
12/16/2004,,,,5657.621713
12/17/2004,,,,5503.434918
12/18/2004,,,,5452.034529
12/19/2004,,,,5403.20416
12/20/2004,,,,5331.243617
12/21/2004,,,,5259.283073
12/22/2004,,,,5266.993131
12/23/2004,,,,5326.103578
12/24/2004,,,,5586.976597
12/25/2004,,,,5704.718457
12/26/2004,,,,5783.353407
12/31/2004,,,,5266.993131
1/1/2005,,,,5264.423112
1/2/2005,,,,5251.665295
1/3/2005,,,,5241.56978
1/4/2005,,,,5264.423112
1/5/2005,,,,5266.993131
1/6/2005,,,,5351.803772
1/7/2005,,,,5338.953675
1/8/2005,,,,5390.354063
1/9/2005,,,,5644.539284
1/10/2005,,,,5702.101971
1/11/2005,,,,5490.584821
1/12/2005,,,,5302.973403
1/13/2005,,,,5233.998143
1/14/2005,,,,5452.034529
1/15/2005,,,,5796.669797
1/16/2005,,,,5841.945522
1/17/2005,,,,5786.016685
1/18/2005,,,,5647.15577
1/19/2005,,,,5454.604549
1/20/2005,,,,5292.693325
1/21/2005,,,,5259.283073
1/22/2005,,,,5246.617538
1/23/2005,,,,5244.093659
1/24/2005,,,,5231.474264
1/25/2005,,,,5261.853092
1/26/2005,,,,5266.993131
1/27/2005,,,,5259.283073
1/28/2005,,,,5254.189174
1/29/2005,,,,5284.983267
1/30/2005,,,,5320.963539
1/31/2005,,,,5338.953675
2/1/2005,,,,5308.113442
2/2/2005,,,,5277.273209
2/3/2005,,,,5279.843228
2/4/2005,,,,5284.983267
2/5/2005,,,,5287.553286
2/6/2005,,,,5292.693325
2/7/2005,,,,5297.833364
2/8/2005,,,,5295.263345
2/9/2005,,,,5295.263345
2/10/2005,,,,5284.983267
2/11/2005,,,,5223.902627
2/12/2005,,,,5213.807112
2/13/2005,,,,5206.235475
2/14/2005,,,,5218.854869
2/15/2005,,,,5382.644005
2/16/2005,,,,5282.413247
2/17/2005,,,,5338.953675
2/18/2005,,,,5349.233752
2/19/2005,,,,5323.533558
2/20/2005,,,,5287.553286
2/21/2005,,,,5254.189174
2/22/2005,,,,5223.902627
2/23/2005,,,,5239.045901
2/24/2005,,,,5246.617538
2/25/2005,,,,5251.665295
2/26/2005,,,,5259.283073
2/27/2005,,,,5264.423112
2/28/2005,,,,5269.56315
3/1/2005,,,,5287.553286
3/2/2005,,,,5292.693325
3/3/2005,,,,5282.413247
3/4/2005,,,,5277.273209
3/5/2005,,,,5272.13317
3/6/2005,,,,5266.993131
3/7/2005,,,,5274.703189
3/8/2005,,,,5336.383655
3/9/2005,,,,5372.363927
3/10/2005,,,,5346.663733
3/11/2005,,,,5315.8235
3/12/2005,,,,5328.673597
3/13/2005,,,,5331.243617
3/14/2005,,,,5318.393519
3/15/2005,,,,5284.983267
3/16/2005,,,,5236.522022
3/17/2005,,,,5178.472807
3/18/2005,,,,5120.423592
3/19/2005,,,,5074.993771
3/20/2005,,,,5034.611708
3/21/2005,,,,5014.420677
3/22/2005,,,,5044.707224
3/23/2005,,,,5127.995228
3/24/2005,,,,5346.663733
3/25/2005,,,,5320.963539
3/26/2005,,,,5354.373791
3/27/2005,,,,5372.363927
3/28/2005,,,,5506.004937
3/29/2005,,,,6393.326667
3/30/2005,,,,6526.710255
3/31/2005,,,,6585.065574
4/1/2005,,,,6670.386661
4/2/2005,,,,6769.293323
4/3/2005,,,,8152.82858
4/4/2005,,,,9235.207326
4/5/2005,,,,8740.782003
4/6/2005,,,,7986.251203
4/7/2005,,,,7151.027737
4/8/2005,,,,6648.052899
4/9/2005,,,,6619.338061
4/10/2005,,,,6600.194836
4/11/2005,,,,6576.7291
4/12/2005,,,,6603.385374
4/13/2005,,,,6609.766449
4/14/2005,,,,6590.623224
4/15/2005,,,,6568.392626
4/16/2005,,,,6568.392626
4/17/2005,,,,6560.056152
4/18/2005,,,,6548.940853
4/19/2005,,,,6560.056152
4/20/2005,,,,6587.844399
4/21/2005,,,,6609.766449
4/22/2005,,,,6619.338061
4/23/2005,,,,6657.624511
4/24/2005,,,,6734.197411
4/25/2005,,,,6766.102785
4/26/2005,,,,6769.293323
4/27/2005,,,,6740.578486
4/28/2005,,,,6679.958273
4/29/2005,,,,6632.100211
4/30/2005,,,,6628.909674
5/1/2005,,,,6641.671824
5/2/2005,,,,6632.100211
5/3/2005,,,,6619.338061
5/4/2005,,,,6603.385374
5/5/2005,,,,6600.194836
5/6/2005,,,,6597.004299
5/7/2005,,,,6590.623224
5/8/2005,,,,6582.28675
5/9/2005,,,,6571.171451
5/10/2005,,,,6576.7291
5/11/2005,,,,6593.813761
5/12/2005,,,,6609.766449
5/13/2005,,,,6619.338061
5/14/2005,,,,6628.909674
5/15/2005,,,,6644.862361
5/16/2005,,,,6654.433974
5/17/2005,,,,6644.862361
5/18/2005,,,,6628.909674
5/19/2005,,,,6606.575911
5/20/2005,,,,6606.575911
5/21/2005,,,,6641.671824
5/22/2005,,,,6667.196123
5/23/2005,,,,6683.148811
5/24/2005,,,,6673.577198
5/25/2005,,,,6660.815048
5/26/2005,,,,6638.481286
5/27/2005,,,,6619.338061
5/28/2005,,,,6635.290749
5/29/2005,,,,6676.767736
5/30/2005,,,,6702.292036
5/31/2005,,,,6705.482573
6/1/2005,,,,6667.196123
6/2/2005,,,,6628.909674
6/3/2005,,,,6625.719136
6/4/2005,,,,6635.290749
6/5/2005,,,,6638.481286
6/6/2005,,,,6632.100211
6/7/2005,,,,6635.290749
6/8/2005,,,,6628.909674
6/9/2005,,,,6612.956986
6/10/2005,,,,6603.385374
6/11/2005,,,,6616.147524
6/12/2005,,,,6648.052899
6/13/2005,,,,6657.624511
6/14/2005,,,,6644.862361
6/15/2005,,,,6619.338061
6/16/2005,,,,6603.385374
6/17/2005,,,,6609.766449
6/18/2005,,,,6609.766449
6/19/2005,,,,6612.956986
6/20/2005,,,,6616.147524
6/21/2005,,,,6616.147524
6/22/2005,,,,6612.956986
6/23/2005,,,,6609.766449
6/24/2005,,,,6606.575911
6/25/2005,,,,6625.719136
6/26/2005,,,,6644.862361
6/27/2005,,,,6657.624511
6/28/2005,,,,6657.624511
6/29/2005,,,,6641.671824
6/30/2005,,,,6644.862361
7/1/2005,,,,6644.862361
7/2/2005,,,,6632.100211
7/3/2005,,,,6609.766449
7/4/2005,,,,6590.623224
7/5/2005,,,,6593.813761
7/6/2005,,,,6664.005586
7/7/2005,,,,6600.194836
7/8/2005,,,,6743.769023
7/9/2005,,,,6673.577198
7/10/2005,,,,6510.037306
7/11/2005,,,,6510.037306
7/12/2005,,,,6526.710255
7/13/2005,,,,6557.277327
7/14/2005,,,,6609.766449
7/15/2005,,,,6644.862361
7/16/2005,,,,6711.863648
7/17/2005,,,,6880.962135
7/18/2005,,,,7068.175982
7/19/2005,,,,6798.00816
7/20/2005,,,,6654.433974
7/21/2005,,,,6573.950275
7/22/2005,,,,6562.834976
7/23/2005,,,,6560.056152
7/24/2005,,,,6546.162028
7/25/2005,,,,6548.940853
7/26/2005,,,,6565.613801
7/27/2005,,,,6568.392626
7/28/2005,,,,6576.7291
7/29/2005,,,,6576.7291
7/30/2005,,,,6576.7291
7/31/2005,,,,6576.7291
8/1/2005,,,,6576.7291
8/2/2005,,,,6579.507925
8/3/2005,,,,6585.065574
8/4/2005,,,,6585.065574
8/5/2005,,,,6579.507925
8/6/2005,,,,6546.162028
8/7/2005,,,,6512.816131
8/8/2005,,,,6501.700832
8/9/2005,,,,6573.950275
8/10/2005,,,,6606.575911
8/11/2005,,,,6619.338061
8/12/2005,,,,6622.528599
8/13/2005,,,,6625.719136
8/14/2005,,,,6632.100211
8/15/2005,,,,6632.100211
8/16/2005,,,,6625.719136
8/17/2005,,,,6628.909674
8/18/2005,,,,6616.147524
8/19/2005,,,,6609.766449
8/20/2005,,,,6612.956986
8/21/2005,,,,6619.338061
8/22/2005,,,,6612.956986
8/23/2005,,,,6576.7291
8/24/2005,,,,6540.604379
8/25/2005,,,,6501.700832
8/26/2005,,,,6460.018461
8/27/2005,,,,6404.441966
8/28/2005,,,,6357.201945
8/29/2005,,,,6318.298399
8/30/2005,,,,6323.856049
8/31/2005,,,,6337.750172
9/1/2005,,,,6346.086647
9/2/2005,,,,6351.644296
9/3/2005,,,,6357.201945
9/4/2005,,,,6359.98077
9/5/2005,,,,6362.759595
9/6/2005,,,,6357.201945
9/7/2005,,,,6312.74075
9/8/2005,,,,6266.662355
9/9/2005,,,,6217.873467
9/10/2005,,,,6166.374085
9/11/2005,,,,6106.743222
9/12/2005,,,,6017.721869
9/13/2005,,,,5964.456309
9/14/2005,,,,5919.180584
9/15/2005,,,,5884.55797
9/16/2005,,,,5887.221248
9/17/2005,,,,5895.211082
9/18/2005,,,,5900.537638
9/19/2005,,,,5905.864194
9/20/2005,,,,5900.537638
9/21/2005,,,,5855.261912
9/22/2005,,,,5799.333075
9/23/2005,,,,5723.033857
9/24/2005,,,,5628.84037
9/25/2005,,,,5534.646882
9/26/2005,,,,5457.174568
9/27/2005,,,,5408.344199
9/28/2005,,,,5315.8235
9/29/2005,,,,5218.854869
9/30/2005,,,,5120.423592
10/1/2005,,,,5052.278861
10/2/2005,,,,4989.45658
10/3/2005,,,,4925.026062
10/4/2005,,,,4823.424091
