date,residual_MG,dS_MG,netQ_MG,step_days
2009-10-15,-3.481659405224491e-13,-13.832432667588364,-13.832432667588016,1.0
2009-10-16,7.460698725481052e-13,11.835399724530362,11.835399724529616,1.0
2009-10-17,1.6342482922482304e-12,2.244575005322986,2.2445750053213516,1.0
2009-10-18,-4.476419235288631e-13,-1.538586532464251,-1.5385865324638033,1.0
2009-10-19,3.481659405224491e-13,-8.180151287338958,-8.180151287339307,1.0
2009-10-20,-5.684341886080802e-14,-7.716170362360572,-7.716170362360515,1.0
2009-10-21,1.0871303857129533e-12,-9.85406288408194,-9.854062884083028,1.0
2009-10-22,4.405364961712621e-13,-10.991955405805129,-10.99195540580557,1.0
2009-10-23,1.2363443602225743e-12,-10.729847927526862,-10.729847927528098,1.0
2009-10-24,2.1316282072803006e-13,125.03225955074959,125.03225955074937,1.0
2009-10-25,-5.968558980384842e-13,121.08566949668966,121.08566949669026,1.0
2009-10-26,-6.821210263296962e-13,-42.202370273658744,-42.20237027365806,1.0
2009-10-27,-3.126388037344441e-13,-22.52581504097725,-22.525815040976937,1.0
2009-10-28,-3.126388037344441e-13,145.85123711918277,145.85123711918308,1.0
2009-10-29,3.979039320256561e-13,59.306733325920504,59.306733325920106,1.0
2009-10-30,3.979039320256561e-13,-57.94510231293498,-57.945102312935376,1.0
2009-10-31,3.979039320256561e-13,-55.027787742223154,-55.02778774222355,1.0
2009-11-01,5.968558980384842e-13,-42.3788307529212,-42.3788307529218,1.0
2009-11-02,2.2737367544323206e-13,-37.56506869655095,-37.56506869655118,1.0
2009-11-03,2.842170943040401e-14,-21.494246728061626,-21.494246728061654,1.0
2009-11-04,-2.842170943040401e-14,-18.919290381234532,-18.919290381234504,1.0
2009-11-05,-8.526512829121202e-14,-14.346491021442489,-14.346491021442404,1.0
2009-11-06,-2.842170943040401e-14,-11.32927123479385,-11.329271234793822,1.0
2009-11-07,5.258016244624741e-13,-10.658090317774622,-10.658090317775148,1.0
2009-11-08,-4.973799150320701e-13,-8.508786039259576,-8.508786039259078,1.0
2009-11-09,8.526512829121202e-13,-6.030673035033033,-6.030673035033885,1.0
2009-11-10,8.668621376273222e-13,-5.479416488853531,-5.4794164888543975,1.0
2009-11-11,4.689582056016661e-13,-5.956789401554488,-5.956789401554957,1.0
2009-11-12,2.8421709430404007e-13,-4.762981065392523,-4.7629810653928075,1.0
2009-11-13,-5.542233338928781e-13,-3.397418252448915,-3.397418252448361,1.0
2009-11-14,1.2789769243681803e-13,-1.293648634771671,-1.2936486347717988,1.0
2009-11-15,2.5579538487363607e-13,-5.0256648215163295,-5.025664821516585,1.0
2009-11-16,-2.1316282072803006e-13,-6.055852286688605,-6.055852286688392,1.0
2009-11-17,1.0658141036401503e-12,-5.485017616516416,-5.4850176165174815,1.0
2009-11-18,4.121147867408581e-13,-2.858035373101302,-2.858035373101714,1.0
2009-11-19,7.105427357601002e-13,0.22633715386291442,0.22633715386220388,1.0
2009-11-20,3.836930773104541e-13,87.31245620632035,87.31245620631996,1.0
2009-11-21,-3.126388037344441e-13,-39.271220065922535,-39.27122006592222,1.0
2009-11-22,-1.4210854715202004e-14,-17.006825280759585,-17.00682528075957,1.0
2009-11-23,5.115907697472721e-13,-3.1541078901027504,-3.154107890103262,1.0
2009-11-24,-1.4210854715202004e-13,1.727430817350978,1.7274308173511201,1.0
2009-11-25,4.121147867408581e-13,5.5133297103093355,5.513329710308923,1.0
2009-11-26,5.684341886080802e-14,4.455503390183367,4.45550339018331,1.0
2009-11-27,2.8421709430404007e-13,1.020189793631289,1.0201897936310047,1.0
2009-11-28,3.268496584496461e-13,-0.34399614343055873,-0.3439961434308856,1.0
2009-11-29,-2.842170943040401e-14,0.15254052510317706,0.15254052510320548,1.0
2009-11-30,6.679101716144942e-13,6.962995168811176,6.962995168810508,1.0
2009-12-01,-1.1368683772161603e-13,2.4779816518312145,2.4779816518313282,1.0
2009-12-02,3.694822225952521e-13,4.880289836841257,4.880289836840888,1.0
2009-12-03,-9.094947017729282e-13,320.6146835915515,320.6146835915524,1.0
2009-12-04,-7.389644451905042e-13,-28.050161226095952,-28.050161226095213,1.0
2009-12-05,1.1368683772161603e-13,-66.6106993454323,-66.61069934543241,1.0
2009-12-06,5.115907697472721e-13,-38.1884958487517,-38.18849584875221,1.0
2009-12-07,1.9895196601282805e-13,-30.865973143909287,-30.865973143909486,1.0
2009-12-08,-1.4210854715202004e-13,-20.546414376891335,-20.546414376891192,1.0
2009-12-09,7.389644451905042e-13,67.42944756496036,67.42944756495962,1.0
2009-12-10,8.526512829121202e-13,29.999689002093874,29.99968900209302,1.0
2009-12-11,7.673861546209082e-13,-41.326565448169276,-41.326565448170044,1.0
2009-12-12,-8.526512829121202e-14,-28.193099626836556,-28.19309962683647,1.0
2009-12-13,7.673861546209082e-13,16.728441479515823,16.728441479515055,1.0
2009-12-14,-7.958078640513122e-13,49.72124388889097,49.72124388889176,1.0
2009-12-15,-1.9895196601282805e-13,-1.939503109348152,-1.9395031093479531,1.0
2009-12-16,8.242295734817162e-13,-0.4314427080353198,-0.43144270803614404,1.0
2009-12-17,8.526512829121202e-13,-17.09597448409295,-17.0959744840938,1.0
2009-12-18,-3.410605131648481e-13,-20.803001651498562,-20.80300165149822,1.0
2009-12-19,-5.684341886080801e-13,-17.62763030620954,-17.62763030620897,1.0
2009-12-20,0.0,-14.921268555288407,-14.921268555288407,1.0
2009-12-21,6.252776074688882e-13,-18.319238047002727,-18.319238047003353,1.0
2009-12-22,-7.673861546209082e-13,-17.075116783298654,-17.075116783297887,1.0
2009-12-23,-4.547473508864641e-13,-15.798361853359893,-15.798361853359438,1.0
2009-12-24,8.242295734817162e-13,-11.514347560307215,-11.514347560308039,1.0
2009-12-25,-3.126388037344441e-13,-7.561368047696305,-7.561368047695993,1.0
2009-12-26,-1.4210854715202004e-14,88.31797273681332,88.31797273681333,1.0
2009-12-27,7.673861546209082e-13,159.64634402605043,159.64634402604966,1.0
2009-12-28,3.410605131648481e-13,-27.486650904191265,-27.486650904191606,1.0
2009-12-29,5.684341886080802e-14,-54.114408914218075,-54.11440891421813,1.0
2009-12-30,-4.547473508864641e-13,-50.03775699724429,-50.03775699724383,1.0
2009-12-31,-2.8421709430404007e-13,-23.130905270994845,-23.13090527099456,1.0
2010-01-01,-2.8421709430404007e-13,-15.145472756061281,-15.145472756060997,1.0
2010-01-02,-8.810729923425242e-13,-19.11767278860134,-19.11767278860046,1.0
2010-01-03,-3.410605131648481e-13,-21.0012891801598,-21.00128918015946,1.0
2010-01-04,2.842170943040401e-14,-18.420299880870516,-18.420299880870544,1.0
2010-01-05,3.979039320256561e-13,-12.846158490050584,-12.846158490050982,1.0
2010-01-06,1.4210854715202004e-13,-9.606190043989045,-9.606190043989187,1.0
2010-01-07,5.684341886080802e-14,-9.885458659962751,-9.885458659962808,1.0
2010-01-08,6.536993168992922e-13,-6.947581998339956,-6.94758199834061,1.0
2010-01-09,-9.947598300641403e-14,-10.294050969359887,-10.294050969359787,1.0
2010-01-10,0.0,-9.338473408412028,-9.338473408412028,1.0
2010-01-11,-1.1795009413617663e-12,-4.725905061064623,-4.725905061063443,1.0
2010-01-12,-3.979039320256561e-13,-4.999838658184672,-4.999838658184274,1.0
2010-01-13,1.9895196601282805e-13,-5.060775220952564,-5.060775220952763,1.0
2010-01-14,-8.810729923425242e-13,-3.974330566925346,-3.974330566924465,1.0
2010-01-15,-9.947598300641403e-13,-3.532650818433467,-3.5326508184324723,1.0
2010-01-16,-1.9895196601282805e-13,-1.5343991034151259,-1.534399103414927,1.0
2010-01-17,3.552713678800501e-13,10.710112239263253,10.710112239262898,1.0
2010-01-18,4.547473508864641e-13,26.433905311210765,26.43390531121031,1.0
2010-01-19,7.673861546209082e-13,-17.86833496318286,-17.868334963183628,1.0
2010-01-20,-4.121147867408581e-13,-13.72337382542355,-13.723373825423138,1.0
2010-01-21,-1.0516032489249483e-12,-8.901326704508392,-8.90132670450734,1.0
2010-01-22,2.842170943040401e-14,-6.228661722378092,-6.228661722378121,1.0
2010-01-23,6.252776074688882e-13,-7.4341270645036275,-7.434127064504253,1.0
2010-01-24,-7.389644451905042e-13,-0.5022829798763269,-0.5022829798755879,1.0
2010-01-25,-1.7053025658242404e-13,285.13970659938605,285.1397065993862,1.0
2010-01-26,9.094947017729282e-13,111.68080272805673,111.68080272805582,1.0
2010-01-27,5.115907697472721e-13,-104.90515202424285,-104.90515202424336,1.0
2010-01-28,-3.979039320256561e-13,-79.7482435085276,-79.7482435085272,1.0
2010-01-29,-2.8421709430404007e-13,-56.87789921447802,-56.877899214477736,1.0
2010-01-30,8.810729923425242e-13,-36.79038828016019,-36.79038828016107,1.0
2010-01-31,-8.526512829121202e-14,-25.321918973031643,-25.321918973031558,1.0
2010-02-01,-4.547473508864641e-13,-16.770756548463396,-16.77075654846294,1.0
2010-02-02,0.0,-13.868549402966892,-13.868549402966892,1.0
2010-02-03,4.831690603168681e-13,-8.222953062286251,-8.222953062286734,1.0
2010-02-04,-7.389644451905042e-13,-9.967089453735753,-9.967089453735014,1.0
2010-02-05,-5.258016244624741e-13,-8.3550728110622,-8.355072811061675,1.0
