date,residual_MG,dS_MG,netQ_MG,step_days
2009-10-15,3.232969447708456e-13,16.67315822513774,16.673158225137417,1.0
2009-10-16,4.476419235288631e-13,32.91068254860329,32.91068254860284,1.0
2009-10-17,8.384404281969182e-13,24.38909238643828,24.38909238643744,1.0
2009-10-18,-1.3642420526593924e-12,20.402420334738053,20.402420334739418,1.0
2009-10-19,9.947598300641403e-13,12.239710424471923,12.239710424470928,1.0
2009-10-20,1.5347723092418164e-12,8.756844220524727,8.756844220523192,1.0
2009-10-21,-2.1316282072803006e-14,6.3589836055634805,6.358983605563502,1.0
2009-10-22,-9.947598300641403e-14,5.001705189637505,5.001705189637605,1.0
2009-10-23,-5.044853423896711e-13,4.875890079880264,4.875890079880769,1.0
2009-10-24,-2.842170943040401e-14,105.5274121105158,105.52741211051583,1.0
2009-10-25,0.0,125.69720465795581,125.69720465795581,1.0
2009-10-26,-3.410605131648481e-13,38.87942193305571,38.87942193305605,1.0
2009-10-27,-8.526512829121202e-14,20.03977762782415,20.039777627824236,1.0
2009-10-28,0.0,122.45872163691274,122.45872163691274,1.0
2009-10-29,-8.242295734817162e-13,97.42516315534886,97.42516315534968,1.0
2009-10-30,-9.094947017729282e-13,-27.208511257322243,-27.208511257321334,1.0
2009-10-31,2.2737367544323206e-13,-37.13307253826497,-37.133072538265196,1.0
2009-11-01,8.526512829121202e-13,-30.832488958360045,-30.832488958360898,1.0
2009-11-02,8.242295734817162e-13,-26.43516148245544,-26.435161482456266,1.0
2009-11-03,0.0,-19.939550374378086,-19.939550374378086,1.0
2009-11-04,-2.8421709430404007e-13,-17.133949222908996,-17.13394922290871,1.0
2009-11-05,2.5579538487363607e-13,-14.638329735360458,-14.638329735360713,1.0
2009-11-06,-8.526512829121202e-14,-12.743977593499949,-12.743977593499864,1.0
2009-11-07,-2.842170943040401e-14,-11.844300834320165,-11.844300834320137,1.0
2009-11-08,-8.526512829121202e-13,-10.736979885945402,-10.73697988594455,1.0
2009-11-09,7.958078640513122e-13,-9.31990079579191,-9.319900795792705,1.0
2009-11-10,-2.842170943040401e-14,-8.445241506155071,-8.445241506155043,1.0
2009-11-11,-1.4210854715202004e-13,-8.228401666512582,-8.22840166651244,1.0
2009-11-12,5.542233338928781e-13,-7.589529359007429,-7.589529359007983,1.0
2009-11-13,-6.536993168992922e-13,-6.6593322706776235,-6.65933227067697,1.0
2009-11-14,5.400124791776761e-13,-5.08645777674792,-5.0864577767484604,1.0
2009-11-15,1.4210854715202004e-13,-6.080338240255514,-6.0803382402556565,1.0
2009-11-16,1.4210854715202004e-13,-7.086126905976926,-7.086126905977068,1.0
2009-11-17,9.947598300641403e-14,-7.580249067546902,-7.580249067547001,1.0
2009-11-18,9.521272659185342e-13,-6.685865226070746,-6.685865226071698,1.0
2009-11-19,1.1368683772161603e-13,-4.583723294043011,-4.583723294043125,1.0
2009-11-20,-2.7000623958883807e-13,45.60647467442868,45.60647467442895,1.0
2009-11-21,1.1368683772161603e-13,2.19121400462609,2.1912140046259765,1.0
2009-11-22,3.979039320256561e-13,-4.027488070518302,-4.0274880705187,1.0
2009-11-23,7.105427357601002e-13,-4.393433539687976,-4.3934335396886866,1.0
2009-11-24,-7.247535904753022e-13,-3.7844828732904716,-3.784482873289747,1.0
2009-11-25,5.684341886080802e-14,-1.8813879596327752,-1.881387959632832,1.0
2009-11-26,5.115907697472721e-13,-1.391103874619148,-1.3911038746196596,1.0
2009-11-27,-2.984279490192421e-13,-2.750232906510064,-2.7502329065097655,1.0
2009-11-28,1.2789769243681803e-12,-4.21408701018845,-4.214087010189729,1.0
2009-11-29,-8.100187187665142e-13,-5.0129219088430546,-5.0129219088422445,1.0
2009-11-30,-4.547473508864641e-13,-1.8995357797830366,-1.8995357797825818,1.0
2009-12-01,3.268496584496461e-13,-2.793230717155893,-2.79323071715622,1.0
2009-12-02,-1.5631940186722204e-13,-1.581802049984617,-1.5818020499844607,1.0
2009-12-03,-6.821210263296962e-13,263.60697359525693,263.6069735952576,1.0
2009-12-04,5.115907697472721e-13,31.51014966153707,31.51014966153656,1.0
2009-12-05,6.252776074688882e-13,-29.355042624090856,-29.35504262409148,1.0
2009-12-06,8.526512829121202e-14,-27.045538826221673,-27.045538826221758,1.0
2009-12-07,5.684341886080802e-14,-24.535230151381256,-24.535230151381313,1.0
2009-12-08,5.684341886080801e-13,-19.723042030938814,-19.723042030939382,1.0
2009-12-09,-3.410605131648481e-13,21.963546044953546,21.963546044953887,1.0
2009-12-10,0.0,22.976180645784552,22.976180645784552,1.0
2009-12-11,-8.242295734817162e-13,-12.476437887316933,-12.47643788731611,1.0
2009-12-12,0.0,-14.380635819472445,-14.380635819472445,1.0
2009-12-13,-5.115907697472721e-13,1.8777536361521925,1.877753636152704,1.0
2009-12-14,2.8421709430404007e-13,28.757263864148626,28.757263864148342,1.0
2009-12-15,-1.4210854715202004e-13,8.447044012351398,8.44704401235154,1.0
2009-12-16,7.958078640513122e-13,5.623529730228256,5.62352973022746,1.0
2009-12-17,-1.7053025658242404e-13,-5.411524797513266,-5.411524797513096,1.0
2009-12-18,-8.810729923425242e-13,-10.365312883152,-10.36531288315112,1.0
2009-12-19,3.410605131648481e-13,-10.929590657007793,-10.929590657008134,1.0
2009-12-20,8.242295734817162e-13,-10.395962638136552,-10.395962638137377,1.0
2009-12-21,-2.2737367544323206e-13,-11.649268205528642,-11.649268205528415,1.0
2009-12-22,2.2737367544323206e-13,-11.874286191577994,-11.874286191578221,1.0
2009-12-23,-4.547473508864641e-13,-11.981777592931394,-11.98177759293094,1.0
2009-12-24,8.242295734817162e-13,-10.917339565177826,-10.91733956517865,1.0
2009-12-25,5.400124791776761e-13,-9.273201397123557,-9.273201397124097,1.0
2009-12-26,7.958078640513122e-13,36.92861380919203,36.92861380919123,1.0
2009-12-27,-1.1368683772161603e-13,153.75767209516926,153.75767209516937,1.0
2009-12-28,1.7053025658242404e-13,12.505149111202627,12.505149111202456,1.0
2009-12-29,-6.252776074688882e-13,-29.25686749142733,-29.256867491426704,1.0
2009-12-30,5.115907697472721e-13,-33.536964502471164,-33.536964502471676,1.0
2009-12-31,8.810729923425242e-13,-23.43619126593694,-23.436191265937822,1.0
2010-01-01,-7.389644451905042e-13,-85.21247230377412,-85.21247230377338,1.0
2010-01-02,3.126388037344441e-13,-48.17683041573582,-48.176830415736134,1.0
2010-01-03,4.547473508864641e-13,-32.478201600009925,-32.47820160001038,1.0
2010-01-04,5.400124791776761e-13,-24.38129944309003,-24.38129944309057,1.0
2010-01-05,2.842170943040401e-14,-18.867408949459787,-18.867408949459815,1.0
2010-01-06,8.810729923425242e-13,-15.151963595695634,-15.151963595696515,1.0
2010-01-07,7.105427357601002e-13,-13.359630640263276,-13.359630640263987,1.0
2010-01-08,-6.252776074688882e-13,-11.289344107164652,-11.289344107164027,1.0
2010-01-09,-1.7053025658242404e-13,-11.604574093151314,-11.604574093151143,1.0
2010-01-10,1.0800249583553523e-12,-11.42348924419639,-11.42348924419747,1.0
2010-01-11,-1.0800249583553523e-12,-9.606106543733404,-9.606106543732324,1.0
2010-01-12,1.7053025658242404e-13,-8.915762781294688,-8.915762781294859,1.0
2010-01-13,-3.268496584496461e-13,-8.495217203077118,-8.495217203076791,1.0
2010-01-14,-7.673861546209082e-13,-7.74198213712225,-7.741982137121482,1.0
2010-01-15,-6.110667527536862e-13,-7.123956678311515,-7.123956678310904,1.0
2010-01-16,1.4210854715202004e-14,-5.75020645157565,-5.750206451575664,1.0
2010-01-17,7.815970093361102e-13,1.161400447901542,1.1614004479007605,1.0
2010-01-18,-3.836930773104541e-13,12.645911272211379,12.645911272211762,1.0
2010-01-19,-5.684341886080802e-14,-1.810486335767564,-1.8104863357675072,1.0
2010-01-20,-7.389644451905042e-13,-5.8803017741793155,-5.880301774178577,1.0
2010-01-21,3.836930773104541e-13,-7.217990962069962,-7.2179909620703455,1.0
2010-01-22,-4.263256414560601e-13,-7.557636022876977,-7.557636022876551,1.0
2010-01-23,6.679101716144942e-13,-8.829939701277908,-8.829939701278576,1.0
2010-01-24,4.547473508864641e-13,-6.18438502585559,-6.184385025856045,1.0
2010-01-25,-8.242295734817162e-13,215.29880041792603,215.29880041792686,1.0
2010-01-26,-7.389644451905042e-13,196.62983081410312,196.62983081410385,1.0
2010-01-27,2.8421709430404007e-13,-103.58846284619722,-103.5884628461975,1.0
2010-01-28,6.821210263296962e-13,-72.71282575064288,-72.71282575064356,1.0
2010-01-29,-8.810729923425242e-13,-47.09595691879986,-47.095956918798976,1.0
2010-01-30,-6.821210263296962e-13,-32.43525693056108,-32.4352569305604,1.0
2010-01-31,8.810729923425242e-13,-24.395583734723914,-24.395583734724795,1.0
2010-02-01,-2.8421709430404007e-13,-19.038351807588697,-19.038351807588413,1.0
2010-02-02,3.126388037344441e-13,-16.086072065269036,-16.08607206526935,1.0
2010-02-03,-1.7053025658242404e-13,-12.921087620517937,-12.921087620517767,1.0
2010-02-04,-1.4210854715202004e-13,-12.181239993869895,-12.181239993869752,1.0
2010-02-05,7.105427357601002e-13,-11.214994227222633,-11.214994227223343,1.0
2010-02-06,-1.5631940186722204e-13,-8.707714035179379,-8.707714035179222,1.0
2010-02-07,-7.673861546209082e-13,-10.370332464452076,-10.370332464451309,1.0
2010-02-08,6.963318810448982e-13,-9.621023401816274,-9.62102340181697,1.0
2010-02-09,1.2505552149377763e-12,-8.743826105786866,-8.743826105788116,1.0
2010-02-10,9.947598300641403e-14,-4.704577252112358,-4.704577252112458,1.0
2010-02-11,2.8421709430404007e-13,-5.303694217805969,-5.303694217806253,1.0
2010-02-12,-6.110667527536862e-13,-8.53001203103122,-8.530012031030608,1.0
2010-02-13,3.552713678800501e-13,-8.422807732906222,-8.422807732906577,1.0
2010-02-14,-4.973799150320701e-13,-8.075344650342231,-8.075344650341734,1.0
2010-02-15,-1.3926637620897964e-12,-7.719583688207422,-7.719583688206029,1.0
2010-02-16,-8.100187187665142e-13,-6.749418795372549,-6.749418795371739,1.0
2010-02-17,-1.4210854715202004e-13,-7.0995913347996975,-7.099591334799555,1.0
2010-02-18,-1.2221335055073723e-12,-6.496689605599386,-6.4966896055981636,1.0
2010-02-19,8.100187187665142e-13,-5.986047027994573,-5.986047027995383,1.0
2010-02-20,1.4210854715202004e-13,-4.91353426481146,-4.913534264811602,1.0
2010-02-21,2.7000623958883807e-13,-4.512353913638435,-4.512353913638705,1.0
2010-02-22,1.1368683772161603e-13,-4.198077915581962,-4.1980779155820755,1.0
2010-02-23,1.0089706847793423e-12,0.40976944351859856,0.4097694435175896,1.0
2010-02-24,5.542233338928781e-13,8.394575494190576,8.394575494190022,1.0
2010-02-25,-1.6058265828178264e-12,6.569601653109203,6.569601653110809,1.0
2010-02-26,-7.531752999057062e-13,1.281553987904772,1.281553987905525,1.0
2010-02-27,8.810729923425242e-13,-3.539991023375478,-3.539991023376359,1.0
2010-02-28,4.263256414560601e-14,-4.305663121191174,-4.305663121191216,1.0
2010-03-01,1.7053025658242404e-13,-4.038285072965664,-4.038285072965834,1.0
2010-03-02,2.2737367544323206e-13,-1.4411902261981595,-1.4411902261983869,1.0
2010-03-03,-5.258016244624741e-13,4.294114725618783,4.294114725619309,1.0
2010-03-04,-8.668621376273222e-13,7.051100348166074,7.0511003481669405,1.0
2010-03-05,-6.963318810448982e-13,4.542551491762424,4.5425514917631205,1.0
2010-03-06,4.405364961712621e-13,4.511577600487726,4.511577600487286,1.0
2010-03-07,-6.536993168992922e-13,7.472680305818358,7.472680305819011,1.0
2010-03-08,2.7000623958883807e-13,13.635833355965588,13.635833355965318,1.0
2010-03-09,-4.973799150320701e-13,13.731707249864485,13.731707249864982,1.0
2010-03-10,8.100187187665142e-13,10.592401857596997,10.592401857596187,1.0
2010-03-11,2.984279490192421e-13,8.665389323365162,8.665389323364863,1.0
2010-03-12,0.0,10.736608616643935,10.736608616643935,1.0
2010-03-13,-5.684341886080801e-13,75.87392635217475,75.87392635217532,1.0
2010-03-14,-2.2737367544323206e-13,634.1316803170375,634.1316803170378,1.0
2010-03-15,0.0,189.11020433033082,189.11020433033082,1.0
2010-03-16,-1.1368683772161603e-13,-354.04205938280575,-354.04205938280563,1.0
2010-03-17,6.821210263296962e-13,-246.78629012157216,-246.78629012157285,1.0
2010-03-18,5.684341886080802e-14,-99.67897688179437,-99.67897688179443,1.0
2010-03-19,-1.1368683772161603e-13,-54.4732108001499,-54.473210800149786,1.0
2010-03-20,8.526512829121202e-14,-33.845755707412536,-33.84575570741262,1.0
2010-03-21,2.8421709430404007e-13,-25.527071979848188,-25.527071979848472,1.0
2010-03-22,3.694822225952521e-13,-6.816289709384364,-6.816289709384733,1.0
2010-03-23,-3.126388037344441e-13,97.67739150800844,97.67739150800875,1.0
2010-03-24,6.821210263296962e-13,-27.91229566867878,-27.912295668679462,1.0
2010-03-25,-8.526512829121202e-14,-26.009953353901437,-26.009953353901352,1.0
2010-03-26,-3.979039320256561e-13,-13.81569308024882,-13.815693080248423,1.0
2010-03-27,-4.831690603168681e-13,-20.748066025795197,-20.748066025794714,1.0
2010-03-28,-6.536993168992922e-13,-15.790247407165225,-15.790247407164571,1.0
2010-03-29,1.1368683772161603e-13,50.341826576997846,50.34182657699773,1.0
2010-03-30,2.8421709430404007e-13,71.97293420460846,71.97293420460818,1.0
2010-03-31,-7.389644451905042e-13,301.48003250588044,301.4800325058812,1.0
2010-04-01,5.684341886080801e-13,-102.4793827290614,-102.47938272906197,1.0
2010-04-02,-5.684341886080802e-14,-133.6523764829708,-133.65237648297074,1.0
