date,value
1983-10-01,22138.87844160016
1983-10-02,21912.955413076583
1983-10-03,21686.663168553005
1983-10-04,21460.146945729426
1983-10-05,21233.840568205847
1983-10-06,21007.402270082268
1983-10-07,20780.76453625869
1983-10-08,20554.104206135115
1983-10-09,20327.377207911537
1983-10-10,20100.64801008796
1983-10-11,19873.919259564384
1983-10-12,19650.200157840805
1983-10-13,19429.937671317228
1983-10-14,19216.75045079365
1983-10-15,18997.592518270074
1983-10-16,18776.554240746496
1983-10-17,18554.895054222918
1983-10-18,18331.89253469934
1983-10-19,18119.36487717576
1983-10-20,17901.931350652183
1983-10-21,17682.224417128604
1983-10-22,17460.598318605025
1983-10-23,17242.738800081446
1983-10-24,17047.70311655787
1983-10-25,16842.32667203429
1983-10-26,16631.568671510715
1983-10-27,16416.288162987137
1983-10-28,16198.31276696356
1983-10-29,15977.438006439981
1983-10-30,15755.643392916403
1983-10-31,15533.015127392826
1983-11-01,15309.637967869248
1983-11-02,15085.807974345671
1983-11-03,14861.866501522094
1983-11-04,14637.911372498516
1983-11-05,14413.408886374938
1983-11-06,14188.75215585136
1983-11-07,13963.954113327782
1983-11-08,13739.077051104205
1983-11-09,13513.867398380627
1983-11-10,13289.94773885705
1983-11-11,13071.895020333473
1983-11-12,12854.015007809896
1983-11-13,12635.544603286318
1983-11-14,12415.74025776274
1983-11-15,12200.524116239163
1983-11-16,12019.133219715586
1983-11-17,11823.917136192009
1983-11-18,11625.81250966843
1983-11-19,11422.705526144853
1983-11-20,11214.429842621275
1983-11-21,11040.389919097697
1983-11-22,10852.06799557412
1983-11-23,10660.467195050542
1983-11-24,10464.220505526964
1983-11-25,10309.759937003386
1983-11-26,10150.38470347981
1983-11-27,9984.114819956232
1983-11-28,9815.852112432654
1983-11-29,9700.350253909077
1983-11-30,9557.2462003855
1983-12-01,9398.646296861922
1983-12-02,9225.671179338344
1983-12-03,9046.182389814767
1983-12-04,8873.56892829119
1983-12-05,8706.909964767612
1983-12-06,8553.445381244035
1983-12-07,8441.206907720458
1983-12-08,8300.445014196881
1983-12-09,8146.584060673304
1983-12-10,7980.530837149726
1983-12-11,7804.495033626148
1983-12-12,7679.17359510257
1983-12-13,7995.964871578993
1983-12-14,8439.958668055415
1983-12-15,8652.058994531837
1983-12-16,8758.892341008259
1983-12-17,8764.097897484682
1983-12-18,8699.715973961105
1983-12-19,8593.111965437527
1983-12-20,8454.022055913949
1983-12-21,8308.696436390372
1983-12-22,8180.923268866794
1983-12-23,8054.965660343217
1983-12-24,7916.512706819639
1983-12-25,7769.171703296061
1983-12-26,7613.342679772484
1983-12-27,7453.148886248907
1983-12-28,7304.154748725329
1983-12-29,7162.926085201751
1983-12-30,6998.546861678174
1983-12-31,6824.548116154596
1984-01-01,6644.284602631018
1984-01-02,6461.04100710744
1984-01-03,6274.966363583862
1984-01-04,6086.011750060285
1984-01-05,5895.5373115367065
1984-01-06,5703.161922013129
1984-01-07,5507.9645904895515
