date,value
1983-10-01,680.1956565603999
1983-10-02,679.5558617542608
1983-10-03,678.30753217166
1983-10-04,678.3291717426195
1983-10-05,681.200557559464
1983-10-06,690.9072652444324
1983-10-07,686.56148004737
1983-10-08,683.768961846987
1983-10-09,680.313723994474
1983-10-10,679.0322387537907
1983-10-11,680.2527796057157
1983-10-12,679.4601072702103
1983-10-13,681.6206444825093
1983-10-14,695.8958166870356
1983-10-15,689.660718804052
1983-10-16,685.18822660213
1983-10-17,683.2933064758512
1983-10-18,683.8807805224445
1983-10-19,691.6507815478226
1983-10-20,687.2737137510468
1983-10-21,686.9276608157053
1983-10-22,684.2034837464117
1983-10-23,607.4471280380706
1983-10-24,563.533995230753
1983-10-25,488.1349368912289
1983-10-26,418.7331321004419
1983-10-27,361.49635416640274
1983-10-28,316.8901883472886
1983-10-29,272.7337818568584
1983-10-30,236.5525819291998
1983-10-31,205.86076430758953
1983-11-01,180.27521847436117
1983-11-02,160.56090534915043
1983-11-03,141.00626056677663
1983-11-04,128.65955485169383
1983-11-05,112.4472050471587
1983-11-06,100.20623368183067
1983-11-07,89.7253058848477
1983-11-08,78.35946825435542
1983-11-09,69.41820759940758
1983-11-10,66.30399050656015
1983-11-11,103.57554485025128
1983-11-12,129.63389304673734
1983-11-13,101.30313661831359
1983-11-14,90.38070575994914
1983-11-15,84.01010224164979
1983-11-16,115.67069759818756
1983-11-17,120.26140620602457
1983-11-18,103.17665150970824
1983-11-19,94.95653107235132
1983-11-20,91.41959082811407
1983-11-21,233.06458435546733
1983-11-22,195.6656307863505
1983-11-23,158.05869825737597
1983-11-24,154.3160493263772
1983-11-25,430.7883314270292
1983-11-26,320.3656760101302
1983-11-27,279.94587738706235
1983-11-28,267.0053945406497
1983-11-29,487.89713206919254
1983-11-30,402.7818475423182
1983-12-01,317.6391738585087
1983-12-02,270.30824916399786
1983-12-03,238.10619405539413
1983-12-04,228.34038290872326
1983-12-05,222.8830334903368
1983-12-06,390.7911866928863
1983-12-07,1183.3536029480847
1983-12-08,532.215992633824
1983-12-09,403.9573865973572
1983-12-10,357.30740534821115
1983-12-11,302.93127490049073
1983-12-12,299.61702869693363
1983-12-13,2470.1435029480845
1983-12-14,2749.5448029480845
1983-12-15,1601.8760629480848
1983-12-16,1191.8216029480848
1983-12-17,936.3035737503366
1983-12-18,700.5297058668451
1983-12-19,555.7070389801802
1983-12-20,430.09148061921564
1983-12-21,374.92667193485545
1983-12-22,356.5306069010889
1983-12-23,342.7044692719955
1983-12-24,310.3218819595326
1983-12-25,238.97471902129135
1983-12-26,229.35004921601058
1983-12-27,229.06665035836744
1983-12-28,284.5247442738626
1983-12-29,442.8433501169195
1983-12-30,321.8283523236604
1983-12-31,275.1580988247379
1984-01-01,240.7710445219156
1984-01-02,208.06759943060325
1984-01-03,188.96225941115563
1984-01-04,179.63451730239439
1984-01-05,171.09152224272447
1984-01-06,159.58382132875505
1984-01-07,147.8183901182848
1984-01-08,139.535862397566
1984-01-09,128.03167750652784
1984-01-10,122.28667497371731
1984-01-11,125.77250990671368
1984-01-12,123.93295890886563
1984-01-13,124.41248920334003
1984-01-14,121.11132398200436
1984-01-15,112.110145584854
1984-01-16,107.66232097768824
1984-01-17,106.62956707720735
1984-01-18,106.11875480593355
1984-01-19,100.84480796562613
1984-01-20,157.45056879340038
1984-01-21,156.9410478931384
1984-01-22,157.02030047480662
1984-01-23,165.4137543326739
1984-01-24,111.90799748928471
1984-01-25,290.74496783421074
1984-01-26,135.65235348928468
1984-01-27,212.66998730936984
1984-01-28,110.4171414892847
1984-01-29,186.04538149962798
1984-01-30,100.32550148928468
1984-01-31,96.6998504892847
1984-02-01,95.4512574892847
1984-02-02,187.58844027871112
1984-02-03,124.5380724892847
1984-02-04,205.5694974892847
1984-02-05,279.2406103635069
1984-02-06,245.29884269350498
1984-02-07,226.78003699808278
1984-02-08,122.45405348928472
1984-02-09,227.00588289870495
1984-02-10,117.1254574892847
1984-02-11,245.81949402377631
1984-02-12,163.19011748928472
1984-02-13,335.8828003480242
1984-02-14,518.9899174892847
1984-02-15,2746.4780029480844
1984-02-16,2416.3838029480844
1984-02-17,1453.9478029480847
1984-02-18,1164.8186029480846
1984-02-19,1049.6936029480846
1984-02-20,1043.3819529480847
1984-02-21,838.4081067748689
1984-02-22,659.8893556358762
1984-02-23,561.2424725978838
1984-02-24,564.3020471655643
1984-02-25,516.2186909922234
1984-02-26,448.804958910447
1984-02-27,391.6529704735633
1984-02-28,392.357320013103
1984-02-29,427.33204851091034
1984-03-01,325.43165473344175
1984-03-02,282.74470776704027
1984-03-03,249.50618257003828
1984-03-04,238.89172636264334
1984-03-05,219.64606944383786
1984-03-06,230.34741745104185
1984-03-07,207.81669289677615
1984-03-08,189.5710627815152
1984-03-09,176.16318873085015
1984-03-10,166.92686539919958
1984-03-11,163.1761044555018
1984-03-12,149.0294935249832
1984-03-13,223.40708335709758
1984-03-14,242.52845988095544
1984-03-15,245.86779467752996
1984-03-16,256.80353175524846
1984-03-17,273.48341763034216
1984-03-18,265.9038673471489
1984-03-19,272.3854563952397
1984-03-20,309.8938184984837
1984-03-21,235.67619748928468
1984-03-22,596.1350927567482
1984-03-23,471.6239507173457
1984-03-24,409.23063545822436
1984-03-25,376.3321372646046
1984-03-26,189.1283674892847
1984-03-27,328.6091625637767
1984-03-28,172.20321748928467
1984-03-29,329.48244054124154
1984-03-30,170.97247748928464
1984-03-31,306.2759127700372
1984-04-01,167.8388674892847
1984-04-02,349.2399496309697
1984-04-03,225.91723748928467
