datetime,prompton,beltzvilleCombined,fewalter
1990-01-23,68.8457263826409,151.00054229934923,506.2272180982679
1990-01-24,71.88303784069859,149.4110629067245,490.5853658536585
1990-01-25,96.1815295051601,211.40075921908894,716.681230116649
1990-01-26,514.318073564435,497.50704989154013,1987.9372216330858
1990-01-27,228.81079650701244,430.74891540130153,1584.0930364086248
1990-01-28,149.84069859751256,346.50650759219087,1183.0928243195474
1990-01-29,131.61682984916644,351.2749457700651,1049.4260869565217
1990-01-30,360.4276263561789,931.4349240780911,2292.242347119123
1990-01-31,185.2759989415189,683.4761388286333,1811.610887239307
1990-02-01,183.58721902284972,511.01241438356163,1422.2133560809164
1990-02-02,331.55303733977337,426.10573630136986,1354.4889105532536
1990-02-03,363.0642764257849,364.7842465753425,1474.0873994638068
1990-02-04,387.72524614527214,375.79066780821915,1557.6622471362416
1990-02-05,257.57012818131153,341.1990582191781,1495.701584206678
1990-02-06,213.72840423555638,295.6010273972603,1211.8352912503046
1990-02-07,178.10700352963033,278.3052226027397,1060.5359980502071
1990-02-08,179.47705740293517,256.2923801369863,1007.2210090177919
1990-02-09,287.7113133940182,242.14126712328766,971.1973677796733
1990-02-10,702.8376370053874,276.73287671232873,1291.0873019741653
1990-02-11,375.39476128552855,242.14126712328766,1337.1975627589568
1990-02-12,246.60969719487275,223.27311643835617,1131.1423348769192
1990-02-13,190.43748838937395,209.12200342465752,979.8430416768218
1990-02-14,195.91770388259334,201.26027397260273,902.0319766024859
1990-02-15,175.36689578302062,201.26027397260273,903.4729222520107
1990-02-16,442.5274010774661,210.69434931506848,1076.3864001949792
1990-02-17,600.0835965075237,198.11558219178082,1162.8431391664635
1990-02-18,286.3412595207134,177.67508561643834,972.6383134291981
1990-02-19,217.83856585547093,176.10273972602738,863.126444065318
1990-02-20,161.66635704997213,169.81335616438355,739.2051182061906
1990-02-21,165.77651866988668,161.95162671232876,639.7798683889837
1990-02-22,147.96581831692365,177.67508561643834,671.4806726785279
1990-02-23,346.6236299461267,270.4434931506849,953.9060199853765
1990-02-24,260.3102359279212,333.33732876712327,1145.5517913721667
1990-02-25,165.77651866988668,292.45633561643837,1005.7800633682671
1990-02-26,137.00538733048487,259.4370719178082,805.4886180843286
1990-02-27,89.05350176481517,242.14126712328766,739.2051182061906
1990-02-28,84.94334014490062,231.13484589041096,685.8901291737752
1990-03-01,83.61679224973089,224.41461342395922,563.0247939705572
1990-03-02,80.82956584140653,216.22429906542055,575.1184052968937
1990-03-03,78.04233943308216,211.31011045029737,583.1808128477848
1990-03-04,75.2551130247578,194.92948173322003,569.743466929633
1990-03-05,72.46788661643345,181.82497875955818,518.6815524406564
1990-03-06,69.68066020810907,176.910790144435,499.8692681552441
1990-03-07,71.07427341227127,163.80628717077315,467.6196379516799
1990-03-08,72.46788661643345,158.89209855564997,456.86976121715855
1990-03-09,75.2551130247578,158.89209855564997,435.37000774811577
1990-03-10,94.76569788302835,163.80628717077315,501.21300274705925
1990-03-11,153.29745245783997,158.89209855564997,568.3997323378178
1990-03-12,192.31862217438106,150.7017841971113,580.4933436641544
1990-03-13,195.10584858270542,142.51146983857262,571.0872015214482
1990-03-14,164.44635809113743,137.59728122344944,536.1501021342538
1990-03-15,143.5421600287047,132.68309260832626,493.1505951961682
