reservoir,policy_id,NORhi_mu,NORhi_min,NORhi_max,NORhi_alpha,NORhi_beta,NORlo_mu,NORlo_min,NORlo_max,NORlo_alpha,NORlo_beta,Release_alpha1,Release_alpha2,Release_beta1,Release_beta2,Release_c,Release_p1,Release_p2,GRanD_CAP_MG,GRanD_MEANFLOW_MGD,Adjusted_CAP_MG,Adjusted_MEANFLOW_MGD,Max_release,Release_max,Release_min
fewalter,0,96.8931835476073,25.126421217591272,21.906796819392895,-6.733946695222086,5.21,91.2701993867212,0.0,1.76,-14.41,-21.64594540493046,87.20434897853141,56.535451162722595,6.391034763680763,-24.95843294294099,5.435987589429612,92.59523121514145,0.01036048984037311,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,1,52.960948873394734,78.06925422504365,9.15310219814548,58.73996771430334,-18.850494361165165,22.50431167601418,4.217145238700662,7.163897952396784,3.9904600364594023,-23.290684243870782,0.31523196772792517,64.21214462480573,76.79659376804167,-0.4251967813003834,3.559971551064261,0.18151951903963948,0.7909975501344754,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,2,90.73104011658678,60.88737649420388,9.644934084245003,21.618917795595177,-26.165527233614547,73.26842506030845,91.8695992171472,3.623954419349845,-5.9313566671799505,-28.528704080109343,42.625620854439504,50.64111247190249,0.002797295470443828,0.11581460954238132,17.42263993119354,16.459420874839882,0.7070191147813006,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,3,34.542309445743925,53.58950060834698,10.6036410618427,2.5300129992230076,-13.93377478808496,94.83465871187734,32.440415249006506,1.7860319064073793,-3.6253470035887196,-12.35316587301311,0.42968173695635303,83.76303784707171,71.18215957412508,-0.4516941266766814,7.166773583045952,72.12151387614304,0.8820095921209414,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,4,20.817036977978944,78.94470014082586,10.208880006528464,3.544983923068248,-14.127652294393348,10.82857943583047,23.843777331546793,2.0908491013791193,-0.2871798510419308,-24.70492065064043,5.965242803488792,84.27823650043979,78.35258367523447,-34.96180442883284,7.166773583045952,88.26445784540306,0.16681110067624255,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,5,0.5649749050820345,30.049847703219548,9.652896881737965,55.51170571394918,-10.787737978239218,89.33326092228056,21.316788022111673,2.1254788834232063,5.244779448216725,-28.48396555803896,1.5226095718913268,75.52316499561624,-0.01681405763465804,-6.2527839164426045,1.5947631140646186,3.0328521658382854,0.4523182360148642,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,6,8.314510946274197,34.83913600178145,9.948780720612456,57.882547978968475,-8.827883349213085,19.127765381744055,3.9572412875426415,7.479436830803912,6.379013446084159,-24.596148469558365,-0.49906059504560574,74.77312098306241,71.3818038706766,-1.3539689551641758,-1.0466506165602294,1.2616470284344317,0.957,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,7,52.960948873394734,78.06925422504365,9.15310219814548,58.73996771430334,-18.850494361165165,22.50431167601418,55.582744315169464,7.163897952396784,3.9904600364594023,-23.290684243870782,0.31523196772792517,64.21214462480573,76.79659376804167,-0.4251967813003834,3.559971551064261,0.18151951903963948,0.7909975501344754,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,8,16.535715936739503,5.910226440141011,17.958223300404377,15.707241947508283,-7.777895568410235,93.58881890569046,32.637443496839474,1.7778356844199408,0.281020682218312,-14.771889790190933,5.079395299949031,61.094739847053134,51.33768774750678,-0.004253482361738392,-1.1850481933556134,4.220650479564046,0.88452565255616,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,9,94.15170828023676,25.702046298133077,27.29100599652583,29.25278595522726,-20.389430438118268,68.94175147449003,78.16254355664512,3.4722085096689654,1.1485261352484561,-2.5002529596358505,96.34181618848454,71.26861672700291,26.464224381737267,-36.010601381229996,26.79020016006607,31.174299731585506,0.2920053167918858,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,10,15.104615283711368,14.799237081689562,42.289418107083456,46.44105962249917,-15.858122187275377,11.190242072293213,82.48465236015389,7.302976208259857,-0.9639628702842371,-16.899321029175084,85.48838733278151,36.04232820530429,27.3481881250595,-33.80033338465693,45.42941817872911,61.199503721419404,0.5126655549734859,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,11,18.90846376658706,8.507131971408954,10.443897344910628,8.684066969501451,3.304164039018561,26.933999934451208,59.54452480748152,6.739982843679993,7.2477269280322325,-19.289211757324278,42.89904711525943,37.53166667751236,45.884190311837116,-13.618243561894605,17.689971501277835,16.542362887211564,0.8778085792304922,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,12,64.25910186121685,38.96750586482276,9.496201373081496,50.27636950750982,-34.065303401233464,73.43856266373929,3.219308892230903,6.637434643786934,5.621609660078566,5.525742169499469,45.26422087221796,34.653263578578446,25.290517279498744,-30.922269382985895,43.92631175807245,27.073580790600463,0.7778309679121281,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,13,27.51082032450313,71.21699320303924,19.200235243846556,57.933660346618574,2.061815986606704,7.866536026440622,56.20721863146667,1.8414291978694273,-13.494470573845735,-7.935547752756818,100.33680412584792,64.75984463461681,21.930782115112557,-26.127415879362204,45.678204270351046,38.66654853247583,0.09222609838106033,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,14,18.067699709813446,15.413509263517286,42.289418107083456,27.127087799100455,-15.678946661215646,46.58511495565904,45.14541503758917,7.33254458328186,-0.9008516009684733,-16.894191061855345,85.12610825469892,36.04232820530429,27.342108976539237,-38.3966109000173,45.95618618640505,64.88700561128829,0.4569649438382526,,,35800.0,137.23,1292.6,1.774,-0.804
fewalter,15,22.012015623508958,14.313761565016916,42.289418107083456,31.547265892915565,-15.695904337129013,46.58511495565904,45.14541503758917,7.33254458328186,-0.9008516009684733,-14.394983059518777,85.12610825469892,36.04232820530429,27.53518909050429,-38.3966109000173,45.95618618640505,63.58958760328753,0.09778633843346407,,,35800.0,137.23,1292.6,1.774,-0.804
